source,source_job_id,company,title,location,latitude,longitude,employment_type,workplace_type,detected_intents,course_scores,url
lever,ab671f1f-1f4e-4c2e-8561-87437767f3f5,Shield AI,Electronics Failure Analysis Engineer (R5258),"Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 17, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 15, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/ab671f1f-1f4e-4c2e-8561-87437767f3f5
lever,4be8b396-8d39-4167-8855-898afc3ea49b,Shield AI,EMEA Talent Acquisition Partner (R5549),London,51.50853,-0.12574,Full Time Employee,hybrid,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 54, ""data_science"": 0}",https://jobs.lever.co/shieldai/4be8b396-8d39-4167-8855-898afc3ea49b
lever,49d0cfc6-952f-42b6-ad6c-630597a1780a,Shield AI,"Engineer I, Electrical Integration & Test (R5136)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 67, ""computer_science"": 9, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 9}",https://jobs.lever.co/shieldai/49d0cfc6-952f-42b6-ad6c-630597a1780a
lever,d4f0de22-d9eb-42a4-b192-21a9c30460e1,Shield AI,"Engineer II, Applications (R4789)",Taipei,25.05306,121.52639,International EOR,onsite,internship,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/d4f0de22-d9eb-42a4-b192-21a9c30460e1
lever,d5006f31-a431-456b-b2f3-72b527a1b125,Shield AI,"Engineer II, Autonomy (R5713)",Melbourne,-37.814,144.96332,International Office Entity,onsite,internship,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/d5006f31-a431-456b-b2f3-72b527a1b125
lever,b7078f80-3ad8-45d8-8bc4-69a143cd1ed8,Shield AI,"Engineer II, Battery Test (R5954)","San Diego, California",32.71571,-117.16472,Full Time Employee,onsite,,"{""electrical_engineering"": 59, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/b7078f80-3ad8-45d8-8bc4-69a143cd1ed8
lever,e136857b-1cd9-4fea-9ff5-ad7587ff1835,Shield AI,"Engineer II, Electrical (R5111)","Dallas, Texas",32.78306,-96.80667,Full Time Employee,onsite,,"{""electrical_engineering"": 68, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/e136857b-1cd9-4fea-9ff5-ad7587ff1835
lever,38d2c9ef-a04e-47db-90e0-6b16783709d7,Shield AI,"Engineer II, Future Concepts (R5910)","Washington, DC",38.89511,-77.03637,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/38d2c9ef-a04e-47db-90e0-6b16783709d7
lever,7507c2f7-e2c4-4d3f-a55f-17f9c63140db,Shield AI,"Engineer II, Hydraulics (R4936)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 42, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/7507c2f7-e2c4-4d3f-a55f-17f9c63140db
lever,794e65fd-e809-43b4-87c1-2cd82651cda7,Shield AI,"Engineer II, Mechanical (R5310)","Dallas, Texas",32.78306,-96.80667,Full Time Employee,onsite,,"{""electrical_engineering"": 12, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/794e65fd-e809-43b4-87c1-2cd82651cda7
lever,3550353a-f5db-49ab-b9fb-00f7bdb7b692,Shield AI,"Engineer II, Mechanical Design (R4922)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 42, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/3550353a-f5db-49ab-b9fb-00f7bdb7b692
lever,1d56e321-727e-4d28-a99c-99c4aec117eb,Shield AI,"Engineer II, Mechanical Test (R4935)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 9, ""mechanical_engineering"": 9, ""civil_engineering"": 9, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 9}",https://jobs.lever.co/shieldai/1d56e321-727e-4d28-a99c-99c4aec117eb
lever,2158dfae-2453-4278-87de-141500e87ee1,Shield AI,"Engineer II, Structural Analysis (R4952)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 9, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/2158dfae-2453-4278-87de-141500e87ee1
lever,f56dc368-862d-46fe-afe5-899f225547b5,Shield AI,"Engineer II, Structural Analysis (R5166)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 9, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/f56dc368-862d-46fe-afe5-899f225547b5
lever,dfe3c9f3-900f-4f97-afac-7acf1cb7e592,Shield AI,"Engineer II, Systems Test (R5038)","Washington, DC",38.89511,-77.03637,Full Time Employee,onsite,,"{""electrical_engineering"": 12, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 12, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/dfe3c9f3-900f-4f97-afac-7acf1cb7e592
lever,61a20f23-41ca-4cdc-8ee1-419516c56d9b,Shield AI,"Engineer II, Thermal Design and Analysis (R4934)","Seattle, Washington",47.60621,-122.33207,Full Time Employee,onsite,,"{""electrical_engineering"": 9, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/61a20f23-41ca-4cdc-8ee1-419516c56d9b
lever,c2acfb31-06ad-490b-b860-297806ea1add,Shield AI,"Engineering Manager, Air Vehicle Mechanical Systems (R5391)","San Diego, California",32.71571,-117.16472,Full Time Employee,onsite,,"{""electrical_engineering"": 0, ""computer_science"": 0, ""mechanical_engineering"": 0, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 9, ""data_science"": 0}",https://jobs.lever.co/shieldai/c2acfb31-06ad-490b-b860-297806ea1add
lever,a65707de-fc21-4555-8817-f2dc37200831,Shield AI,"Engineering Specialist/Sr. Technician, Electrical Engineering (R4691)","Boston, MA",42.35843,-71.05977,Full Time Employee,onsite,,"{""electrical_engineering"": 79, ""computer_science"": 0, ""mechanical_engineering"": 9, ""civil_engineering"": 0, ""production_engineering"": 9, ""administration"": 12, ""data_science"": 0}",https://jobs.lever.co/shieldai/a65707de-fc21-4555-8817-f2dc37200831
